Imagen,Accuracy,Recall,Specificity,Precision,F1 Score
1.pgm,0.9772555555555555,0.6424226395133562,0.9919391317459029,0.7775288092189501,0.7035481535119479
13.pgm,0.9746444444444444,0.7354748603351955,0.9845521869937515,0.6635584677419355,0.6976682564917859
5.pgm,0.9745777777777778,0.46236559139784944,0.9937979134244048,0.7366617719040627,0.5681389203473008
15.pgm,0.9726555555555556,0.64953588408422,0.9893319935033826,0.7585933368588048,0.6998414440785462
19.pgm,0.9720777777777778,0.4715895468712539,0.9963998182432511,0.8642355008787346,0.6102062975027145
4.pgm,0.9700666666666666,0.6799094795071662,0.98348116201481,0.6555151515151515,0.6674895087632683
17.pgm,0.9696555555555556,0.570267131242741,0.989719353521209,0.7359112709832134,0.642586048946473
9.pgm,0.9695555555555555,0.6183722452542003,0.9883980940562184,0.7409150326797386,0.6741198858230257
8.pgm,0.9680333333333333,0.6892117170754941,0.9816785352152073,0.6480071652485445,0.6679746105020197
16.pgm,0.9664,0.5982304443997587,0.9879332447340257,0.7435641089727568,0.6630265210608425
3.pgm,0.9649111111111112,0.6075411577270313,0.9805181251014681,0.5766129032258065,0.591673131626584
18.pgm,0.9637111111111111,0.34976323719328456,0.997129601424655,0.8689839572192514,0.49877225291589933
7.pgm,0.9605555555555556,0.5948081264108352,0.9794904756339838,0.6002277904328018,0.5975056689342404
6.pgm,0.9598666666666666,0.5737355271176112,0.9744805000115316,0.459716796875,0.5104364326375711
12.pgm,0.9592777777777778,0.5874684608915055,0.9912871382714261,0.8530429472827193,0.6957748817132896
20.pgm,0.9587444444444444,0.6821171312245538,0.9798717918052001,0.7213114754098361,0.7011670020120724
2.pgm,0.9586888888888889,0.6137005649717514,0.9757789905774792,0.5565755764304013,0.583743842364532
10.pgm,0.9574666666666667,0.6572948328267477,0.9712383210152001,0.5118343195266272,0.5755156353958749
14.pgm,0.9564444444444444,0.5812907229289482,0.9853866960289154,0.7542270531400966,0.6565621166987909
11.pgm,0.9547,0.4526085768915597,0.9759899929348267,0.44423592493297587,0.4483831687187119
Promedio,0.9654644444444443,0.5908853938932531,0.9849201533128424,0.6835629680238704,0.6227066890022745
