Imagen,accuracy,sensitivity,specificity,precision,f1_score
13.pgm,0.9797888888888889,0.8807262569832403,0.9838926174496644,0.6937293729372938,0.7761230769230769
2.pgm,0.9785,0.8528719397363466,0.9847233883757813,0.7344415163186702,0.7892386450277747
1.pgm,0.9769,0.7736048664374504,0.9858151915471068,0.7051591128254581,0.7377979568671964
9.pgm,0.9758222222222223,0.8389701069168667,0.9831649437465609,0.727806170736324,0.7794445570646665
16.pgm,0.9747777777777777,0.8270661572491453,0.9834170322368189,0.7447039652362847,0.7837271341463414
17.pgm,0.9741222222222222,0.6850174216027874,0.9886457786335259,0.7519122896481387,0.7169077427981038
3.pgm,0.9709555555555556,0.847052575677111,0.9763666303314238,0.6101759755164499,0.7093617967533912
19.pgm,0.9709333333333333,0.6274274754255574,0.9876265597874844,0.7113346017939658,0.6667515923566879
15.pgm,0.9708777777777777,0.8840842200588634,0.9753572555297196,0.6493182573994014,0.7487297478669351
20.pgm,0.9700777777777778,0.8429376761666145,0.9797880737675508,0.7610631980771949,0.7999108403298908
6.pgm,0.9689555555555556,0.8269347958561852,0.9743305888050924,0.5493927125506073,0.6601800048649964
10.pgm,0.9670666666666666,0.8052178318135765,0.9744921675266118,0.5915519166356531,0.6820424801544733
5.pgm,0.9655222222222222,0.7662058371735792,0.9730013257248257,0.5157154673283706,0.6164874551971327
7.pgm,0.9634111111111111,0.7300225733634311,0.9754937478088115,0.606640405177265,0.6626370248949902
8.pgm,0.9623444444444444,0.6873065015479877,0.975804477803289,0.5816203143893591,0.6300622202816286
12.pgm,0.9623111111111111,0.7186711522287637,0.9832862693987884,0.7873157248157249,0.7514289901802726
18.pgm,0.9619888888888889,0.7798105897546277,0.971905241699276,0.6017272878259425,0.6792912721477454
14.pgm,0.9547777777777777,0.6663046850760161,0.9770328171003183,0.691181203733505,0.6785150078988942
11.pgm,0.9493333333333334,0.7648183556405354,0.9571572522266878,0.43083551315587015,0.5511811023622047
4.pgm,0.9346333333333333,0.6007040482775962,0.9500714925078176,0.35742070616397364,0.4481755932839321
Promedio,0.966655,0.7702877533493141,0.9770686426003576,0.6401522856132726,0.6933997120700168
